koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
35.18105723,7.545,987.7,0.772,4.17,664.0,45.89,63.1
3.82315697,2.388,47.2,0.064,0.77,1282.0,638.38,8.9
8.78458274,6.459,210.8,0.681,2.6,1149.0,411.55,25.9
18.11208877,6.7828,116633.0,0.982,96.62,1068.0,307.27,217.7
48.9200563,2.295,333.9,0.6077,1.71,456.0,10.22,7.0
2.217038096,1.8575,543.7,0.754,3.23,1697.0,1956.29,49.5
116.3311739,7.025,1586.3,0.032,3.26,323.0,2.59,31.5
0.520222869,1.2216,269.5,0.562,1.52,2145.0,5038.49,28.9
19.9401211,4.283,758.9,0.862,2.42,588.0,28.29,18.0
16.9341628,3.94,207.8,0.662,1.71,798.0,95.78,7.2
8.966610607,4.01883,59618.5,1.101,56.94,1038.0,274.04,2049.1
0.957823876,3.7232,104692.0,0.992,110.91,2649.0,11612.14,454.1
2.61844178,3.203,45.1,0.182,2.16,2033.0,4044.74,12.7
0.72359699,1.326,495.6,0.608,6.73,4699.0,114645.28,14.8
0.474811162,1.169,205.2,0.44,1.28,2206.0,5603.32,17.4
5.499941793,11.3096,47751.3,0.531,59.94,1878.0,2942.15,814.1
1.756466865,4.7781,188219.0,0.824,87.4,1831.0,2652.65,541.9
14.38724729,1.9078,1914.1,1.262,29.24,725.0,65.41,43.5
8.04727721,5.159,486.0,0.937,2.33,855.0,126.56,36.1
471.39698,10.714,329.9,0.3379,1.87,265.0,1.16,13.1
3.797018259,2.2608,14431.2,0.321,10.07,982.0,219.64,1549.0
328.240201,12.2726,13888.6,0.75,10.99,224.0,0.59,287.6
8.412008943,5.41096,136113.0,0.539,50.83,1100.0,345.76,5696.2
21.85362905,3.439,355.6,0.676,1.75,618.0,34.57,23.0
0.950735805,1.1434,175.1,0.57,1.39,1908.0,3129.59,17.1
95.6114617,7.489,487.4,0.046,2.37,421.0,7.45,21.6
1.078389713,1.3394,300.5,0.846,1.98,1667.0,1817.38,23.6
8.2562857,2.0378,37.3,0.816,1.49,1387.0,874.56,18.2
117.844963,1.951,1043.0,0.4594,2.52,308.0,2.13,6.6
53.501860974,5.25334,456778.0,0.431,55.23,409.0,6.63,1363.9
6.33855946,3.4617,721.7,0.907,3.31,1034.0,270.47,57.4
369.7985,12.564,1106.4,0.1382,2.53,225.0,0.61,11.1
12.964717746,1.8303,3732.9,1.282,39.93,834.0,114.24,183.3
17.42393582,4.929,770.9,0.927,3.29,722.0,64.13,33.2
8.784575777,5.3022,262984.0,0.5,104.57,1555.0,1380.83,4761.5
2.21396685,4.374,81.6,0.017,0.84,1418.0,952.61,19.1
168.77118,2.263,2045.0,36.9452,2825.04,251.0,0.93,5.5
0.56679797,4.503,72.6,0.176,0.65,1799.0,2467.38,14.0
1.025534511,3.52048,110948.0,0.883,43.68,1896.0,3066.26,3769.0
21.80451611,3.4097,1144.9,0.751,2.6,543.0,20.48,49.9
9.089355023,6.4006,101478.0,0.647,68.91,1511.0,1233.59,756.4
4.150297119,1.2058,593.4,0.971,3.03,981.0,218.44,24.2
265.310499,4.013,1530.0,0.913,4.69,296.0,1.81,11.6
7.37339245,2.883,125.0,1.104,13.73,1098.0,344.18,36.6
677.35794,9.698,322.4,0.8359,7.12,388.0,5.35,11.2
50.4467417,7.159,370.3,0.379,2.67,568.0,24.64,19.4
0.991552822,1.135,607.2,1.158,37.93,2558.0,10148.8,17.3
359.102042,16.949,1102.9,1.201,28.76,290.0,1.67,26.5
