,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
6908,K07379.01,FALSE POSITIVE,0.535493486,2.57,54.0,0.566,1.42,3181.0,24045.87,5.1
6909,K07381.01,FALSE POSITIVE,24.261683827,7.1617,192283.0,0.814,58.48,659.0,44.55,5083.9
6910,K07382.01,FALSE POSITIVE,32.532521502,13.3991,83468.4,0.237,24.35,535.0,19.39,1595.1
6911,K07508.01,FALSE POSITIVE,4.627775175,3.4079,5675.1,1.248,32.62,1039.0,275.68,197.5
6912,K07509.01,FALSE POSITIVE,28.7850347,2.102,102.9,0.2978,2.5,993.0,229.66,6.2
6913,K07511.01,FALSE POSITIVE,6.096030635,18.4531,901661.0,0.642,406.97,1925.0,3246.2,4885.3
6914,K07512.01,FALSE POSITIVE,31.953038766,8.0461,17703.4,0.907,47.96,864.0,131.55,1364.9
6915,K07513.01,FALSE POSITIVE,5.9371708,4.954,157.1,0.4778,1.17,945.0,188.41,10.1
6916,K07514.01,FALSE POSITIVE,0.577844035,4.291,320.4,1.194,18.93,1980.0,3647.63,94.0
6917,K07515.01,FALSE POSITIVE,2.630090609,13.6817,516932.0,0.285,83.5,1551.0,1371.02,1694.6
6918,K07516.01,FALSE POSITIVE,43.204596783,15.0402,202488.0,0.399,43.15,519.0,17.15,4750.2
6919,K01957.02,FALSE POSITIVE,1.75147897,7.89,76.7,0.008,1.8,2340.0,7086.5,68.2
6920,K06330.01,FALSE POSITIVE,3.495457889,6.9796,114625.0,0.965,84.49,2051.0,4186.71,724.0
6921,K06332.01,FALSE POSITIVE,4.01668015,2.2828,38007.0,0.911,22.11,1016.0,252.13,87.9
6922,K06333.01,FALSE POSITIVE,1.89134156,5.891,68.4,0.739,0.99,1673.0,1856.23,10.3
6923,K06334.01,FALSE POSITIVE,2.881100027,9.43866,662832.0,0.829,446.29,2946.0,17809.19,3316.5
6924,K06335.01,FALSE POSITIVE,0.806277023,7.275,70.8,0.697,0.89,2046.0,4119.09,37.9
6925,K06336.01,FALSE POSITIVE,0.513482156,2.732,91.6,0.004,0.83,2072.0,4335.56,12.6
6926,K06464.02,FALSE POSITIVE,225.66716,16.6,342.9,0.3037,1.94,331.0,2.82,11.7
6927,K06465.01,FALSE POSITIVE,4.24748886,3.053,121.0,0.242,1.01,1079.0,319.94,10.0
6928,K06466.01,FALSE POSITIVE,1.000012952,1.221,36.0,0.097,2.12,2858.0,15781.19,11.9
6929,K06467.01,FALSE POSITIVE,0.878803439,2.74503,410723.0,0.467,51.97,1347.0,775.9,524.8
6930,K06468.01,FALSE POSITIVE,1.560158562,3.4248,240156.0,0.712,45.91,1223.0,530.79,459.9
6931,K06469.01,FALSE POSITIVE,34.188302705,3.01179,118440.0,0.957,74.5,660.0,44.91,2594.9
6932,K06470.01,FALSE POSITIVE,8.65303996,1.091,497.0,0.369,1.88,764.0,80.51,14.7
6933,K06471.01,FALSE POSITIVE,8.65311903,1.273,206.8,0.701,0.85,493.0,13.95,8.9
6934,K06584.01,FALSE POSITIVE,12.4253812,19.781,115.3,0.1583,1.14,823.0,108.46,26.8
6935,K06585.01,FALSE POSITIVE,12.42555999,28.083,2964.8,0.9066,4.72,599.0,30.49,122.0
6936,K06586.01,FALSE POSITIVE,12.4257442,29.122,936.0,0.963,8.43,1551.0,1369.63,49.6
6937,K06587.01,FALSE POSITIVE,12.4254241,24.98,378.9,0.938,2.17,755.0,76.9,36.0
6938,K06588.01,FALSE POSITIVE,2.991884392,7.5583,123880.0,0.496,40.11,1486.0,1154.88,1280.3
6939,K06589.01,FALSE POSITIVE,1.795273026,7.3232,125416.0,0.935,55.26,1642.0,1714.88,877.8
6940,K06590.01,FALSE POSITIVE,0.755109271,2.619,23.2,0.4041,0.47,1961.0,3494.52,12.9
6941,K06591.01,FALSE POSITIVE,0.755101141,3.371,76.7,0.523,0.19,680.0,50.92,13.4
6942,K06719.01,FALSE POSITIVE,1.75251585,3.489,125.9,0.738,1.02,1447.0,1035.27,14.2
6943,K06720.01,FALSE POSITIVE,1.752450163,3.0255,55.5,0.728,0.79,1552.0,1372.36,3.4
6944,K06721.01,FALSE POSITIVE,8.27923132,2.355,164.9,0.187,1.08,815.0,104.49,10.9
6945,K06722.01,FALSE POSITIVE,2.212877035,4.66961,376200.0,0.518,69.18,1507.0,1221.98,2731.0
6946,K06723.01,FALSE POSITIVE,0.845097627,1.873,86.5,0.717,0.78,1584.0,1496.92,10.7
